,chords,genres,artist_name,length,song_length
10,"['Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Emaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Emaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Cmaj', 'Emaj', 'Amin', 'Fmaj', 'Emaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Fmaj', 'Cmaj', 'Dmin7', 'Gmaj', 'Cmaj']",Jazz,Nan,119,119
11,"['Cmin', 'Cmaj', 'Cmaj7', 'Cmaj', 'Cmaj7', 'Cmaj', 'Emin', 'Cmaj', 'Csus4', 'G7', 'Dmin', 'Aaug', 'Dmin', 'Fmaj6', 'G7', 'Gaug', 'Cmaj', 'Cmin', 'Cmaj', 'Cmaj7', 'Cmaj', 'Cmaj7', 'Cmaj', 'Emin', 'Cmaj', 'E7', 'Amin', 'F#aug', 'Fmaj6', 'Cmin', 'Cmaj', 'A7', 'Dmin', 'Fmaj', 'G7', 'Cmaj']",Jazz,Nan,36,36
12,"['Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Dmin7', 'G9', 'Dmin7', 'G9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Dmin7', 'G9', 'Dmin7', 'G9', 'Cmaj', 'F9', 'Cmaj', 'E7', 'D#7', 'D7', 'G7', 'G9', 'F#7', 'G7', 'G9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'G9', 'G#9', 'G7', 'Dmin7', 'G7', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'F9', 'Cmaj', 'G7', 'Cmaj', 'F9', 'Dmin7', 'C#9', 'C9']",Jazz,Nan,73,73
13,"['Cmaj7', 'Amin7', 'Dmin7', 'Gmaj', 'Emin7', 'Amin7', 'Dmin7', 'Gmaj', 'Cmaj6', 'A7', 'Dmin7', 'G7', 'Emin7', 'A7', 'D7', 'G7', 'Gmin7', 'C9', 'Fmaj6', 'A#9', 'Cmaj6', 'Dmin9', 'G9', 'Cmaj6', 'A7', 'Dmin7', 'G7', 'Emin7', 'A7', 'D7', 'G7', 'Gmin7', 'C9', 'Fmaj6', 'A#9', 'Cmaj6', 'Cmin6', 'Dmin7', 'G7', 'Cmaj6', 'Dmin7', 'Cmaj', 'Dmin7', 'Cmaj', 'Fmin9', 'A#maj', 'D#maj7', 'Cmin6', 'D9', 'Dmin7', 'G7', 'Cmaj6', 'A7', 'D7', 'G7', 'Emin7', 'A7', 'D7', 'G7', 'Gmin7', 'C9', 'Fmaj6', 'A#9', 'Cmaj6', 'Cmin7', 'Dmin7', 'Gsus4', 'Cmaj6', 'A7', 'Dmin7', 'G7', 'Emin7', 'A7', 'D7', 'G7', 'Gmin7', 'C9', 'Fmaj6', 'A#9', 'Cmaj6', 'Dmin9', 'G9', 'Cmaj6', 'A7', 'Dmin7', 'G7', 'Emin7', 'A7', 'D7', 'G7', 'Gmin7', 'C9', 'Fmaj6', 'A#9', 'Cmaj6', 'Cmin6', 'Dmin7', 'G7', 'Cmaj6', 'Dmin7', 'Cmaj', 'Dmin7', 'Cmaj', 'Fmin9', 'A#maj', 'D#maj7', 'Cmin6', 'D9', 'Dmin7', 'G7', 'Cmaj6', 'A7', 'D7', 'G7', 'Emin7', 'A7', 'D7', 'G7', 'Gmin7', 'C9', 'Fmaj6', 'A#9', 'Cmaj', 'Cmin6', 'Dmin7', 'Gsus4']",Jazz,Nan,126,126
14,"['Cmaj', 'Amin7', 'Fmaj', 'Dmin', 'G7', 'Cdim', 'Gmaj', 'Gaug', 'Cmaj', 'Dmin', 'C#maj', 'Cmaj', 'Amin', 'Fmaj', 'Dmin', 'Fmin', 'Emin', 'G7', 'Cmaj', 'Dmin', 'G7']",Jazz,Nan,21,21
15,"['C7', 'F7', 'F#dim', 'C7', 'C#min7', 'F#7', 'F7', 'F#dim', 'C7', 'G#min7', 'C#7', 'Fmin7', 'A#7', 'C7']",Jazz,Nan,14,14
16,"['Cmaj', 'C7', 'F7', 'Cmaj', 'Dmin7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj', 'C7', 'F7', 'Cmaj', 'Dmin7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj']",Jazz,Nan,19,19
17,"['G7', 'Dmin7', 'G7', 'Cmaj7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'A#maj7', 'Cmaj7', 'Bhdim', 'E7', 'Amaj7', 'A#min7', 'D#7', 'G#maj7', 'D7', 'Gmaj7', 'G#dim', 'Amin7', 'D7', 'G7', 'C7', 'F7', 'A#7', 'D#maj7', 'Edim', 'Fmin7', 'A#7', 'D#maj7', 'A7', 'G#min7', 'C#7', 'F#maj7', 'Gdim', 'G#min7', 'C#7', 'F#min7', 'B7', 'G7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'A#maj7', 'Cmaj7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'Bhdim', 'E7', 'Amaj7', 'A#min7', 'D#7', 'G#maj7', 'D7', 'Gmaj7', 'G#dim', 'Amin7', 'D7', 'G7', 'C7', 'F7', 'A#7', 'D#maj7', 'Edim', 'Fmin7', 'A#7', 'D#maj7', 'A7', 'G#min7', 'C#7', 'F#maj7', 'Gdim', 'G#min7', 'C#7', 'F#min7', 'B7', 'Dmin7', 'G7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'Bhdim', 'E7', 'Amaj7', 'A#min7', 'D#7', 'G#maj7', 'D7', 'Gmaj7', 'G#dim', 'Amin7', 'D7', 'G7', 'C7', 'F7', 'A#7', 'D#maj7', 'Edim', 'Fmin7', 'A#7', 'D#maj7', 'A7', 'G#min7', 'C#7', 'F#maj7', 'Gdim', 'G#min7', 'C#7', 'F#min7', 'B7', 'Dmin7', 'G7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'A#maj7', 'Cmaj7', 'Bhdim', 'E7', 'Amaj7', 'A#min7', 'D#7', 'G#maj7', 'D7', 'Gmaj7', 'G#dim', 'Amin7', 'D7', 'G7', 'C7', 'F7', 'A#7', 'D#maj7', 'Edim', 'Fmin7', 'A#7', 'D#maj7', 'A7', 'G#min7', 'C#7', 'F#maj7', 'Gdim', 'G#min7', 'C#7', 'F#min7', 'B7', 'G7', 'F#hdim', 'B7', 'Emin7', 'A7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Emin7', 'A7', 'Dmin7', 'G7', 'Cmaj7', 'A#maj7', 'Cmaj7']",Jazz,Nan,238,238
18,"['Cmaj', 'Dsus4', 'G7', 'Cmaj', 'Gmaj', 'G7', 'Cmaj', 'Dsus4', 'G7', 'Cmaj', 'Gmaj', 'G7', 'Cmaj', 'Gmaj', 'Dmin', 'Gmaj', 'Dmin', 'Gmaj', 'Dmin', 'Gmaj', 'Cmaj', 'Gmaj', 'G9', 'G7', 'Gmaj', 'Dmin', 'G7', 'Cmaj']",Jazz,Nan,28,28
19,"['Cmaj', 'G7', 'Cmaj', 'G7', 'D7', 'G7', 'Dmin', 'G7', 'Dmin7', 'G7', 'Cmaj', 'G7', 'Cmaj', 'C7', 'Fmaj', 'G#7', 'Cmaj', 'D7', 'G7', 'Cmaj']",Jazz,Nan,20,20
